	16depth	25depth
K03327	7613.0	4055.0
K01749	4542.0	2094.0
K00795	1553.0	771.0
K16887	1312.0	31.0
K07107	2488.0	1580.0
K12410	3021.0	1573.0
K10440	3954.0	1105.5
K00128	9258.5	5686.5
K07391	8039.0	3771.0
K01607	1333.0	1046.0
K03521	5732.0	2184.0
K01783	3198.0	1536.0
K09022	2776.0	1794.0
K01937	7369.0	3326.0
K02237	1069.0	569.0
K03466	8629.0	4100.0
K06015	11804.5	5364.0
K01868	7518.0	3565.0
K02036	772.0	480.0
K18912	3180.0	1848.0
K01400	1642.0	395.0
K01457	189.0	225.0
K14645	5658.0	2079.0
K11494	821.0	197.0
K15635	3457.0	1061.0
K00370	8291.0	5641.0
K10716	6052.0	2544.0
K02056	4012.0	1998.0
K00265	11886.0	6953.0
K01996	5619.0	2941.0
K15022	1771.0	360.0
K07776	957.0	420.0
K15987	12451.0	4901.0
K06180	6021.0	2711.0
K03664	1721.0	876.0
K03074	2913.0	1457.0
K01779	1586.0	492.0
K01219	363.0	15.0
K06940	1913.0	504.0
K03596	7336.0	3556.0
K01966	6726.0	3411.0
K07303	5952.0	3683.0
K09931	2146.0	831.0
K02313	5157.0	2323.0
K07006	2704.0	2206.0
K22226	3042.0	618.0
K01886	6214.0	2197.0
K17286	3098.0	1580.0
K07011	3624.0	1142.0
K02044	2180.0	1136.0
K02393	668.0	366.0
K02026	3774.0	1098.0
K12527	1893.0	505.0
K00754	3510.0	1372.0
K03413	5872.0	2386.5
K01283	1523.0	739.0
K02483	5177.0	2728.0
K07444	1620.0	406.0
K03561	6599.0	2890.0
K01676	2656.0	1283.0
K00972	1425.0	326.0
K00169	4569.0	909.0
K03796	409.0	309.0
K13798	497.0	452.0
K03590	5175.0	2294.0
K14126	1453.0	53.0
K08364	134.0	183.0
K05841	286.0	97.0
K10441	3711.5	858.5
K16092	2203.0	1270.0
K01134	8954.0	2171.0
K15738	5858.0	2227.0
K03294	6723.0	3476.0
K01571	1383.0	815.0
K20885	3687.0	657.0
K00046	4411.0	2190.5
K21029	4070.0	1748.0
K11997	1708.0	734.0
K01426	10645.0	6726.0
K02956	974.0	481.0
K00796	4047.0	2017.0
K01905	4556.0	1155.5
K22224	4553.0	1232.5
K03427	9050.0	2997.0
K18332	908.0	196.0
K03442	3716.0	1613.0
K01848	6843.0	3140.0
K02274	8663.0	6548.5
K05603	963.0	869.0
K10112	3662.0	1576.0
K13954	1400.0	501.0
K19416	251.0	183.0
K07101	893.0	393.0
K07462	6666.0	2927.0
K22133	745.0	573.5
K00798	1639.0	1129.0
K03566	2845.0	2745.0
K18989	5000.0	2293.0
K13574	797.0	588.0
K06324	1199.0	366.0
K02899	1079.0	550.0
K01918	3066.0	1524.0
K07710	1578.0	500.0
K00436	1554.0	211.0
K02823	2570.5	1008.5
K02283	4567.0	2860.5
K02204	1013.0	441.0
K02100	316.0	110.0
K03744	2943.0	1218.0
K10797	1251.0	128.0
K02600	5347.0	2658.0
K01972	8359.0	4089.0
K01206	8295.0	1111.0
K03040	4381.0	1850.0
K00383	2862.0	2090.0
K01186	3234.0	525.0
K04091	1351.0	1779.0
K11529	3324.0	1465.0
K02314	7384.0	3532.0
K00130	888.0	1138.0
K07491	8065.0	2134.0
K03585	5135.0	2691.0
K00982	4755.0	2963.0
K00186	553.0	86.0
K04066	9519.0	4291.0
K06048	1890.0	1356.0
K00817	5555.0	3043.0
K07642	1729.0	842.0
K21929	3617.0	2203.0
K02417	715.0	366.0
K01129	4180.0	1811.0
K02502	942.5	756.0
K18166	417.0	230.0
K01473	11294.0	6976.0
K00303	4205.0	2516.0
K03841	1276.0	629.0
K00428	5137.0	2610.0
K02503	2010.0	1053.0
K00278	6677.5	2409.0
K00604	5442.0	2621.0
K00797	11053.5	4154.0
K08151	3511.0	1631.0
K04108	2490.0	1052.0
K09771	133.0	112.0
K07714	7663.0	2747.0
K00283	5389.0	1973.0
K06942	5119.0	2384.0
K01132	1644.0	449.0
K05595	878.0	505.0
K03977	6154.0	2824.0
K00060	3171.0	1252.0
K04659	2549.0	935.0
K09747	1087.0	639.0
K19802	3127.0	1120.0
K02182	2140.0	1093.0
K18138	7684.0	4920.0
K02407	1994.0	832.0
K00598	617.0	451.0
K07516	5737.0	2941.0
K03797	9072.0	4502.0
K09792	1230.0	312.0
K00015	3151.0	1978.0
K00794	2331.0	1158.0
K12982	672.0	413.0
K07713	9170.0	2662.0
K09017	943.0	539.0
K00384	8346.5	3978.0
K11912	2905.0	840.0
K00442	88.0	6.0
K02836	4465.0	2112.0
K01012	2505.0	1310.0
K03767	1626.0	668.0
K01214	2240.0	605.0
K00023	1015.0	877.0
K03553	5629.0	2289.0
K01926	986.0	411.0
K06168	5636.0	2626.0
K12287	1841.0	794.0
K20370	232.0	103.0
K11689	465.0	310.0
K09761	2189.0	1132.0
K00648	7751.0	3068.0
K07098	3424.0	1103.0
K03584	1619.0	899.0
K07711	697.0	396.0
K03814	508.0	280.0
K00627	8282.0	4726.0
K03390	1943.0	130.0
K11917	96.0	37.0
